# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	2247
#@/user_id	bigzhu_mac
li 	麗	c=1 d=0.375311 t=2247
li bing 	李冰	c=2 d=0.398522 t=2247
li hai 	厲害	c=0 d=0.00550232 t=2247
li hai le 	厲害了	c=1 d=0.055299 t=2247
li liang 	力量	c=5 d=0.377899 t=2247
li lun 	理論	c=2 d=1.98511 t=2247
li mian 	裏面	c=4 d=1.94927 t=2247
li qi 	力氣	c=1 d=0.923116 t=2247
li yong 	利用	c=1 d=0.143704 t=2247
lian 	連	c=1 d=0.0127784 t=2247
lian dai 	連帶	c=2 d=0.299797 t=2247
lian jie 	鏈接	c=10 d=0.364039 t=2247
liang 	量	c=1 d=1 t=1996
liang ban 	兩半	c=1 d=0.0125254 t=2247
liang ci 	兩次	c=1 d=0.496585 t=2247
liang dian 	兩點	c=1 d=0.0645703 t=2247
liang ge 	兩個	c=1 d=0.0160027 t=2247
liao tian 	聊天	c=8 d=2.73019 t=2247
lie biao 	列表	c=1 d=0.0623495 t=2247
ling wai 	另外	c=1 d=0.181772 t=2247
ling yi ge 	另一個	c=1 d=0.852144 t=2247
liu lang 	流浪	c=1 d=0.126818 t=2247
long 	龍	c=1 d=0.0173355 t=2247
lu 	擼	c=0 d=0.0585669 t=2247
lu dai ma 	擼代碼	c=1 d=0.588605 t=2247
lu jing 	路徑	c=2 d=0.159 t=2247
lu lu 	盧璐	c=1 d=0.386741 t=2247
lu xiang 	錄像	c=1 d=0.460704 t=2247
luo ru 	落入	c=1 d=1 t=2106
luo zai 	落在	c=1 d=1 t=2144
lv xin 	濾芯	c=1 d=0.0150707 t=2247
ma 	嗎	c=1 d=0.136695 t=2247
ma 	嘛	c=1 d=0.0186856 t=2247
ma 	媽	c=0 d=0.0484325 t=2247
ma 	罵	c=1 d=0.0432828 t=2247
ma che 	馬車	c=2 d=0.0266028 t=2247
ma fan 	麻煩	c=2 d=0.563694 t=2247
mai 	買	c=1 d=0.818731 t=2247
mai piao 	買票	c=1 d=0.0439369 t=2247
man jiang 	滿江	c=1 d=0.12493 t=2247
mang 	忙	c=1 d=1 t=2217
mang shi 	芒市	c=1 d=0.88692 t=2247
mao bing 	毛病	c=1 d=0.124307 t=2247
mao si 	貌似	c=2 d=0.33752 t=2247
me 	麼	c=1 d=0.677057 t=2247
mei 	沒	c=6 d=1.67789 t=2247
mei ba 	沒把	c=1 d=0.119433 t=2247
mei ci 	每次	c=2 d=0.0429966 t=2247
mei fa 	沒法	c=1 d=0.0129715 t=2247
